# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
8.750000e-01	8.213614e+09	1.431200e+09	4.106807e+00	1.867228e+01	8.829635e+00	2.150000e+00	2.964802e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.923166e-04	2.409899e-03	8.029045e-05	2.400975e+06	1.979398e+07	6.594748e+05	
8.800000e-01	8.248232e+09	1.445646e+09	4.124116e+00	1.869689e+01	8.866849e+00	2.150000e+00	2.967830e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.939078e-04	2.419722e-03	8.062047e-05	2.424220e+06	1.995843e+07	6.649763e+05	
8.850000e-01	8.282732e+09	1.460147e+09	4.141366e+00	1.872141e+01	8.903937e+00	2.150000e+00	2.970842e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.954978e-04	2.429512e-03	8.094938e-05	2.447529e+06	2.012299e+07	6.704820e+05	
8.900000e-01	8.317115e+09	1.474702e+09	4.158558e+00	1.874582e+01	8.940899e+00	2.150000e+00	2.973838e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.970865e-04	2.439268e-03	8.127720e-05	2.470903e+06	2.028767e+07	6.759918e+05	
8.950000e-01	8.351382e+09	1.489311e+09	4.175691e+00	1.877012e+01	8.977736e+00	2.150000e+00	2.976818e-01	0.000000e+00	0.000000e+00	0.000000e+00	2.986739e-04	2.448990e-03	8.160392e-05	2.494340e+06	2.045245e+07	6.815055e+05	
9.000000e-01	8.385533e+09	1.503974e+09	4.192767e+00	1.879433e+01	9.014448e+00	2.150000e+00	2.979782e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.002599e-04	2.458679e-03	8.192955e-05	2.517840e+06	2.061733e+07	6.870229e+05	
9.050000e-01	8.419568e+09	1.518691e+09	4.209784e+00	1.881843e+01	9.051036e+00	2.150000e+00	2.982731e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.018447e-04	2.468335e-03	8.225409e-05	2.541402e+06	2.078231e+07	6.925439e+05	
9.100000e-01	8.453487e+09	1.533462e+09	4.226744e+00	1.884243e+01	9.087499e+00	2.150000e+00	2.985664e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.034280e-04	2.477957e-03	8.257756e-05	2.565025e+06	2.094738e+07	6.980683e+05	
9.150000e-01	8.487291e+09	1.548286e+09	4.243646e+00	1.886633e+01	9.123838e+00	2.150000e+00	2.988582e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.050101e-04	2.487547e-03	8.289994e-05	2.588709e+06	2.111254e+07	7.035960e+05	
9.200000e-01	8.520980e+09	1.563163e+09	4.260490e+00	1.889013e+01	9.160054e+00	2.150000e+00	2.991485e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.065908e-04	2.497104e-03	8.322126e-05	2.612454e+06	2.127777e+07	7.091267e+05	
9.250000e-01	8.554555e+09	1.578093e+09	4.277278e+00	1.891383e+01	9.196147e+00	2.150000e+00	2.994374e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.081701e-04	2.506628e-03	8.354150e-05	2.636258e+06	2.144309e+07	7.146604e+05	
9.300000e-01	8.588016e+09	1.593075e+09	4.294008e+00	1.893743e+01	9.232117e+00	2.150000e+00	2.997248e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.097481e-04	2.516120e-03	8.386068e-05	2.660122e+06	2.160847e+07	7.201968e+05	
9.350000e-01	8.621362e+09	1.608110e+09	4.310681e+00	1.896093e+01	9.267964e+00	2.150000e+00	3.000107e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.113248e-04	2.525579e-03	8.417880e-05	2.684043e+06	2.177393e+07	7.257359e+05	
9.400000e-01	8.654595e+09	1.623197e+09	4.327297e+00	1.898433e+01	9.303690e+00	2.150000e+00	3.002952e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.129000e-04	2.535005e-03	8.449586e-05	2.708023e+06	2.193944e+07	7.312774e+05	
9.450000e-01	8.687715e+09	1.638337e+09	4.343857e+00	1.900763e+01	9.339293e+00	2.150000e+00	3.005782e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.144739e-04	2.544400e-03	8.481187e-05	2.732059e+06	2.210502e+07	7.368213e+05	
9.500000e-01	8.720722e+09	1.653527e+09	4.360361e+00	1.903083e+01	9.374776e+00	2.150000e+00	3.008599e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.160464e-04	2.553762e-03	8.512683e-05	2.756153e+06	2.227065e+07	7.423674e+05	
9.550000e-01	8.753616e+09	1.668770e+09	4.376808e+00	1.905394e+01	9.410137e+00	2.150000e+00	3.011402e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.176175e-04	2.563093e-03	8.544075e-05	2.780301e+06	2.243633e+07	7.479155e+05	
9.600000e-01	8.786398e+09	1.684064e+09	4.393199e+00	1.907694e+01	9.445378e+00	2.150000e+00	3.014191e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.191872e-04	2.572391e-03	8.575362e-05	2.804506e+06	2.260205e+07	7.534655e+05	
9.650000e-01	8.819068e+09	1.699409e+09	4.409534e+00	1.909985e+01	9.480498e+00	2.150000e+00	3.016966e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.207555e-04	2.581658e-03	8.606547e-05	2.828765e+06	2.276782e+07	7.590172e+05	
9.700000e-01	8.851626e+09	1.714805e+09	4.425813e+00	1.912266e+01	9.515498e+00	2.150000e+00	3.019728e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.223224e-04	2.590893e-03	8.637627e-05	2.853077e+06	2.293362e+07	7.645705e+05	
9.750000e-01	8.884073e+09	1.730252e+09	4.442037e+00	1.914537e+01	9.550379e+00	2.150000e+00	3.022477e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.238879e-04	2.600097e-03	8.668605e-05	2.877444e+06	2.309946e+07	7.701253e+05	
9.800000e-01	8.916410e+09	1.745749e+09	4.458205e+00	1.916799e+01	9.585140e+00	2.150000e+00	3.025212e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.254520e-04	2.609270e-03	8.699481e-05	2.901863e+06	2.326532e+07	7.756814e+05	
9.850000e-01	8.948635e+09	1.761296e+09	4.474318e+00	1.919051e+01	9.619783e+00	2.150000e+00	3.027935e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.270146e-04	2.618411e-03	8.730255e-05	2.926334e+06	2.343121e+07	7.812386e+05	
9.900000e-01	8.980751e+09	1.776894e+09	4.490375e+00	1.921294e+01	9.654307e+00	2.150000e+00	3.030644e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.285758e-04	2.627521e-03	8.760927e-05	2.950858e+06	2.359711e+07	7.867970e+05	
9.950000e-01	9.012756e+09	1.792541e+09	4.506378e+00	1.923526e+01	9.688712e+00	2.150000e+00	3.033341e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.301356e-04	2.636600e-03	8.791497e-05	2.975432e+06	2.376304e+07	7.923562e+05	
1.000000e+00	9.044651e+09	1.808239e+09	4.522326e+00	1.925750e+01	9.723000e+00	2.150000e+00	3.036025e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.316939e-04	2.645649e-03	8.821967e-05	3.000056e+06	2.392897e+07	7.979162e+05	
1.005000e+00	9.076437e+09	1.823985e+09	4.538219e+00	1.927963e+01	9.757170e+00	2.150000e+00	3.038697e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.332508e-04	2.654666e-03	8.852337e-05	3.024730e+06	2.409491e+07	8.034768e+05	
1.010000e+00	9.108115e+09	1.839781e+09	4.554057e+00	1.930168e+01	9.791223e+00	2.150000e+00	3.041356e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.348063e-04	2.663653e-03	8.882606e-05	3.049454e+06	2.426086e+07	8.090379e+05	
