# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(sr)			Inflow sr metallicity
#	10: z_in(o)			Inflow o metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(sr)			Outflow sr metallicity
#	13: z_out(o)			Outflow o metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(sr) [Msun]		mass of element sr in ISM
#	16: mass(o) [Msun]		mass of element o in ISM
0.000000e+00	6.774622e+09	9.256525e+07	1.023693e+01	nan	-nan	1.847345e+00	9.577127e-02	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
1.900000e-01	6.618300e+09	1.528986e+09	9.449789e+00	2.354201e+01	1.745702e+01	1.847345e+00	2.718455e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.048768e-04	6.799438e-09	2.910171e-03	2.017766e+06	4.500072e+01	1.926039e+07	
2.000000e-01	6.610086e+09	1.597262e+09	9.410095e+00	2.340343e+01	1.738369e+01	1.847345e+00	2.744326e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.191241e-04	7.036717e-09	3.011085e-03	2.109438e+06	4.651330e+01	1.990353e+07	
2.100000e-01	6.601767e+09	1.665021e+09	9.370570e+00	2.326691e+01	1.731068e+01	1.847345e+00	2.769022e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.330860e-04	7.265754e-09	3.108303e-03	2.198956e+06	4.796681e+01	2.052029e+07	
2.200000e-01	6.593345e+09	1.732274e+09	9.331212e+00	2.313230e+01	1.723797e+01	1.847345e+00	2.792653e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.467637e-04	7.486985e-09	3.201986e-03	2.286333e+06	4.936428e+01	2.111180e+07	
2.300000e-01	6.584823e+09	1.799034e+09	9.292020e+00	2.299948e+01	1.716557e+01	1.847345e+00	2.815311e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.601595e-04	7.700872e-09	3.292285e-03	2.371586e+06	5.070888e+01	2.167911e+07	
2.400000e-01	6.576201e+09	1.865313e+09	9.252995e+00	2.286834e+01	1.709348e+01	1.847345e+00	2.837079e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.732764e-04	7.907821e-09	3.379345e-03	2.454741e+06	5.200343e+01	2.222325e+07	
2.500000e-01	6.567483e+09	1.931120e+09	9.214136e+00	2.273881e+01	1.702169e+01	1.847345e+00	2.858029e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.861181e-04	8.108254e-09	3.463304e-03	2.535824e+06	5.325082e+01	2.274519e+07	
2.600000e-01	6.558668e+09	2.005061e+09	9.175441e+00	2.261078e+01	1.695021e+01	1.847345e+00	2.884824e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.986889e-04	8.302620e-09	3.544292e-03	2.614868e+06	5.445413e+01	2.324584e+07	
2.700000e-01	6.549760e+09	2.078459e+09	9.136910e+00	2.247814e+01	1.687903e+01	1.847345e+00	2.910274e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.110596e-04	8.491423e-09	3.622449e-03	2.692342e+06	5.561678e+01	2.372617e+07	
2.800000e-01	6.540759e+09	2.151329e+09	9.098542e+00	2.234752e+01	1.680815e+01	1.847345e+00	2.934548e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.232254e-04	8.675079e-09	3.697890e-03	2.768216e+06	5.674161e+01	2.418701e+07	
2.900000e-01	6.531668e+09	2.223681e+09	9.060337e+00	2.221874e+01	1.673757e+01	1.847345e+00	2.957778e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.351835e-04	8.853981e-09	3.770729e-03	2.842474e+06	5.783126e+01	2.462915e+07	
3.000000e-01	6.522487e+09	2.295529e+09	9.022294e+00	2.209166e+01	1.666729e+01	1.847345e+00	2.980073e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.469326e-04	9.028499e-09	3.841072e-03	2.915112e+06	5.888826e+01	2.505334e+07	
