APOGEE_ID,APOKASC2_AGE,APOKASC2_AGE_MERR,APOKASC2_AGE_PERR,DR16_ALP_M_COR,DR16_ALP_M_COR_ERR,DR16_FE_H,DR16_FE_H_ERR,DR16_M_H_COR,DR16_M_H_COR_ERR,DR16_O_FE,DR16_O_FE_ERR,ASTRONN_AGE,ASTRONN_AGE_ERR,TEFF,ASTRONN_TEFF_ERR,ASTRONN_LOGG,ASTRONN_LOGG_ERR,ASTRONN_C_H,ASTRONN_C_H_ERR,ASTRONN_N_H,ASTRONN_N_H_ERR,ASTRONN_O_H,ASTRONN_O_H_ERR,ASTRONN_TI_H,ASTRONN_TI_H_ERR,ASTRONN_FE_H,ASTRONN_FE_H_ERR,STARHORSE_M_H,STARHORSE_M_H_MERR,STARHORSE_M_H_PERR,ASTRONN_C_N,ASTRONN_C_N_ERR,ASTRONN_O_FE,ASTRONN_O_FE_ERR,AGE_DIFF
2M19225770+4026306,14.723125,2.0466063,0.980503,-0.015764,0.006809578,0.07383645,0.007614643,0.07551345,0.0068251393,0.002744995,0.0135299405,6.977476011002265,1.9023532869537538,4760.66,28.178522,2.424471,0.053402517,0.015721232,0.025430111,0.05229384,0.023757204,0.043651145,0.022050539,-0.004490217,0.033824094,0.01842072,0.019648563,0.044354923,0.0004317537,0.00043174997,-0.03657261,0.034800794,0.025230424,0.029534595,-7.745649446761407
2M19243182+4024559,14.157938,6.1226764,3.7481208,0.090389,0.005788505,0.067194454,0.0075514917,0.08788745,0.0063458653,0.11330799,0.0065074586,7.847638323842514,2.72582830219928,4030.8171,26.27604,1.5348889,0.059648402,0.14333212,0.03966989,0.30776003,0.035305478,0.18720685,0.03465363,0.26648444,0.07133353,0.08136297,0.031172123,0.1415958,0.0005635172,0.0029214472,-0.1644279,0.05310534,0.10584388,0.04661089,-6.3102996796975255
2M19543447+4026463,16.86553,6.7030435,11.124283,0.009162001,0.00477177,0.36559844,0.0060968227,0.38688844,0.0051865857,0.038051993,0.0059057362,8.227048803754334,2.345408360840198,4148.9106,34.523857,1.9251757,0.06936811,0.37400725,0.04976632,0.50809884,0.043630138,0.37073854,0.043682303,0.63296515,0.13959558,0.33056465,0.044315472,0.36054665,0.014276773,0.0070378482,-0.13409159,0.06618365,0.04017389,0.062225435,-8.638481210283752
2M19535285+4034226,15.310875,6.211742,2.3088858,0.008763,0.006262789,-0.06819355,0.007302782,-0.050621547,0.0063232384,0.049429998,0.008707519,7.024454328905144,1.8297544220460178,4359.92,16.163591,2.035199,0.053685065,-0.082926214,0.015985258,0.13976808,0.01887811,0.019270126,0.021214547,-0.023429284,0.03848283,-0.0755511,0.018155286,-0.040262442,0.019662008,0.001908131,-0.2226943,0.024736846,0.09482123,0.027922597,-8.2864206100597
2M19003815+4036588,13.001696,3.1615846,3.6707764,-0.0244915,0.004664216,0.36951846,0.0056143855,0.43973845,0.004872797,0.024538994,0.006839213,7.112586438087252,2.1814549909570053,4427.715,40.11315,2.5083826,0.10664238,0.51231664,0.060179904,0.6258463,0.06648803,0.44465676,0.046059873,0.54199064,0.06619348,0.38295713,0.0477312,0.4208599,0.0006483495,0.00062409043,-0.11352968,0.08967875,0.06169963,0.066330835,-5.889109194847318
2M19224975+4037527,16.86553,6.957211,11.842276,0.0038399994,0.0058648004,0.35163847,0.008190851,0.37869844,0.006969965,0.032634974,0.0071890457,8.849515578270813,2.6068836817715506,4025.6008,40.013363,1.7789519,0.085097685,0.4201682,0.056611158,0.62272125,0.06190966,0.40793675,0.042961795,0.72813314,0.1763959,0.3430765,0.05145915,0.36335394,0.0022512674,0.0011002123,-0.20255306,0.08389058,0.064860255,0.06703551,-8.016014435767273
2M19382607+4038403,16.330519,7.4793634,1.289241,0.088009,0.00666101,-0.15741155,0.0077854306,-0.15274155,0.0067198826,0.102194995,0.0089776125,7.374583161041796,2.191809039572675,4286.6763,16.614622,1.7217089,0.04361363,-0.13162799,0.02289888,-0.053612467,0.023879725,-0.071799606,0.023822306,-0.14405248,0.03158403,-0.1721432,0.020091813,-0.112307675,0.013664715,0.0005751699,-0.07801552,0.03308474,0.1003436,0.031163812,-8.955935561492383
2M19501120+4039502,16.982437,6.866642,11.527746,-0.015118001,0.0073378906,0.021342453,0.009121377,0.032452453,0.007988145,0.028965,0.010915001,7.1644052708644494,1.7433974745881562,4312.085,19.731783,1.8773856,0.04928291,-0.0060741156,0.024106003,0.31664434,0.039464537,0.09023721,0.021454526,0.084265694,0.035404656,0.04114061,0.022596497,0.018679589,0.013001047,0.007890398,-0.32271844,0.04624445,0.0490966,0.031159243,-9.818031862924613
2M19175901+4046117,17.139572,2.8506334,0.3588938,0.288189,0.017041618,-0.7852715,0.018323934,-0.76496154,0.017152589,0.34189498,0.04939841,6.886474368019096,3.2610661872479207,5056.415,72.18744,2.3742132,0.1307283,-0.7239908,0.06803279,-0.4964435,0.09223046,-0.3667495,0.08083009,-0.70727044,0.14705794,-0.7707439,0.07100266,-0.56034577,0.028310835,0.0028058887,-0.22754729,0.11460768,0.4039944,0.10758662,-10.253097775535592
2M19213172+4052395,14.354895,4.354894,3.264866,0.061909996,0.007390976,-0.27778155,0.007881403,-0.26346156,0.0069983993,0.08722499,0.01294064,6.1318843542640735,1.0498057447326254,4661.752,22.062634,2.1705844,0.052691776,-0.33702153,0.017053977,-0.16903907,0.018390803,-0.20431043,0.02548727,-0.27906877,0.03729706,-0.30747446,0.01833497,-0.21973343,0.015537798,0.005357757,-0.16798246,0.025081063,0.10316403,0.031397007,-8.22301028379745
