# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
8.500000e-02	8.040397e+08	1.389278e+07	4.020199e-01	1.042248e+01	8.643427e-01	2.150000e+00	1.738713e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.221119e-05	3.244016e-04	1.075706e-05	2.589908e+04	2.608317e+05	8.649100e+03	
9.000000e-02	8.499971e+08	1.555338e+07	4.249985e-01	1.046031e+01	9.137468e-01	2.150000e+00	1.769543e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.428397e-05	3.417662e-04	1.133468e-05	2.914128e+04	2.905003e+05	9.634447e+03	
9.500000e-02	8.958083e+08	1.730234e+07	4.479041e-01	1.049794e+01	9.629939e-01	2.150000e+00	1.798631e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.637983e-05	3.590645e-04	1.191030e-05	3.258935e+04	3.216530e+05	1.066934e+04	
1.000000e-01	9.414738e+08	1.913906e+07	4.707369e-01	1.053537e+01	1.012084e+00	2.150000e+00	1.826162e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.849421e-05	3.762968e-04	1.248388e-05	3.624129e+04	3.542736e+05	1.175325e+04	
1.050000e-01	9.869941e+08	2.106292e+07	4.934970e-01	1.057260e+01	1.061019e+00	2.150000e+00	1.852293e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.062345e-05	3.934634e-04	1.305543e-05	4.009511e+04	3.883461e+05	1.288563e+04	
1.100000e-01	1.032369e+09	2.307336e+07	5.161847e-01	1.060966e+01	1.109797e+00	2.150000e+00	1.877159e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.276455e-05	4.105648e-04	1.362493e-05	4.414881e+04	4.238545e+05	1.406596e+04	
1.150000e-01	1.077600e+09	2.516980e+07	5.388002e-01	1.064652e+01	1.158421e+00	2.150000e+00	1.900876e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.491503e-05	4.276011e-04	1.419238e-05	4.840046e+04	4.607832e+05	1.529372e+04	
1.200000e-01	1.122687e+09	2.735170e+07	5.613437e-01	1.068321e+01	1.206889e+00	2.150000e+00	1.923545e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.707285e-05	4.445729e-04	1.475779e-05	5.284810e+04	4.991164e+05	1.656839e+04	
1.250000e-01	1.167631e+09	2.961854e+07	5.838154e-01	1.071971e+01	1.255203e+00	2.150000e+00	1.945255e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.923629e-05	4.614804e-04	1.532115e-05	5.748981e+04	5.388387e+05	1.788945e+04	
1.300000e-01	1.212431e+09	3.196978e+07	6.062155e-01	1.075604e+01	1.303363e+00	2.150000e+00	1.966082e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.140390e-05	4.783240e-04	1.588247e-05	6.232368e+04	5.799348e+05	1.925640e+04	
1.350000e-01	1.257088e+09	3.440492e+07	6.285442e-01	1.079220e+01	1.351370e+00	2.150000e+00	1.986096e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.357445e-05	4.951039e-04	1.644175e-05	6.734782e+04	6.223894e+05	2.066873e+04	
1.400000e-01	1.301603e+09	3.692347e+07	6.508016e-01	1.082819e+01	1.399224e+00	2.150000e+00	2.005358e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.574690e-05	5.118206e-04	1.699899e-05	7.256035e+04	6.661874e+05	2.212595e+04	
1.450000e-01	1.345976e+09	3.952493e+07	6.729882e-01	1.086401e+01	1.446925e+00	2.150000e+00	2.023921e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.792035e-05	5.284743e-04	1.755421e-05	7.795942e+04	7.113139e+05	2.362755e+04	
1.500000e-01	1.390208e+09	4.220884e+07	6.951039e-01	1.089966e+01	1.494473e+00	2.150000e+00	2.041835e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.009402e-05	5.450654e-04	1.810740e-05	8.354317e+04	7.577541e+05	2.517305e+04	
1.550000e-01	1.434298e+09	4.497471e+07	7.171490e-01	1.093515e+01	1.541870e+00	2.150000e+00	2.059144e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.226724e-05	5.615941e-04	1.865858e-05	8.930979e+04	8.054933e+05	2.676197e+04	
1.600000e-01	1.478248e+09	4.782210e+07	7.391238e-01	1.097048e+01	1.589116e+00	2.150000e+00	2.075886e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.443944e-05	5.780608e-04	1.920774e-05	9.525745e+04	8.545170e+05	2.839380e+04	
1.650000e-01	1.522057e+09	5.075055e+07	7.610284e-01	1.100565e+01	1.636211e+00	2.150000e+00	2.092098e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.661010e-05	5.944657e-04	1.975491e-05	1.013844e+05	9.048106e+05	3.006809e+04	
1.700000e-01	1.565726e+09	5.375962e+07	7.828631e-01	1.104066e+01	1.683156e+00	2.150000e+00	2.107813e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.877878e-05	6.108092e-04	2.030007e-05	1.076887e+05	9.563600e+05	3.178435e+04	
1.750000e-01	1.609256e+09	5.684887e+07	8.046279e-01	1.107551e+01	1.729950e+00	2.150000e+00	2.123060e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.094510e-05	6.270916e-04	2.084324e-05	1.141688e+05	1.009151e+06	3.354211e+04	
