# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
1.000000e-01	1.190339e+09	2.419820e+07	5.951696e-01	1.332024e+01	1.279615e+00	2.150000e+00	1.826162e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.547051e-05	3.762968e-04	1.246818e-05	4.222194e+04	4.479209e+05	1.484136e+04	
1.050000e-01	1.247892e+09	2.663061e+07	6.239461e-01	1.336733e+01	1.341484e+00	2.150000e+00	1.852293e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.710540e-05	3.934634e-04	1.303716e-05	4.630353e+04	4.909999e+05	1.626897e+04	
1.100000e-01	1.305262e+09	2.917248e+07	6.526310e-01	1.341417e+01	1.403157e+00	2.150000e+00	1.877159e-01	0.000000e+00	0.000000e+00	0.000000e+00	3.873631e-05	4.105648e-04	1.360401e-05	5.056103e+04	5.358946e+05	1.775679e+04	
1.150000e-01	1.362449e+09	3.182309e+07	6.812246e-01	1.346078e+01	1.464633e+00	2.150000e+00	1.900876e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.036328e-05	4.276011e-04	1.416874e-05	5.499292e+04	5.825848e+05	1.930419e+04	
1.200000e-01	1.419454e+09	3.458175e+07	7.097271e-01	1.350716e+01	1.525913e+00	2.150000e+00	1.923545e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.198636e-05	4.445729e-04	1.473137e-05	5.959771e+04	6.310509e+05	2.091051e+04	
1.250000e-01	1.476278e+09	3.744779e+07	7.381389e-01	1.355332e+01	1.586999e+00	2.150000e+00	1.945255e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.360557e-05	4.614804e-04	1.529190e-05	6.437392e+04	6.812732e+05	2.257510e+04	
1.300000e-01	1.532920e+09	4.042055e+07	7.664601e-01	1.359925e+01	1.647889e+00	2.150000e+00	1.966082e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.522093e-05	4.783240e-04	1.585035e-05	6.932008e+04	7.332324e+05	2.429733e+04	
1.350000e-01	1.589382e+09	4.349938e+07	7.946910e-01	1.364497e+01	1.708586e+00	2.150000e+00	1.986096e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.683249e-05	4.951039e-04	1.640673e-05	7.443473e+04	7.869093e+05	2.607656e+04	
1.400000e-01	1.645664e+09	4.668367e+07	8.228320e-01	1.369047e+01	1.769089e+00	2.150000e+00	2.005358e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.844027e-05	5.118206e-04	1.696104e-05	7.971641e+04	8.422847e+05	2.791217e+04	
1.450000e-01	1.701766e+09	4.997280e+07	8.508832e-01	1.373576e+01	1.829399e+00	2.150000e+00	2.023921e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.004429e-05	5.284743e-04	1.751330e-05	8.516370e+04	8.993398e+05	2.980354e+04	
